LifetimePolicyReference,PolicyReference,PriorPolicyRef,EclipsePolicyID,PriorEclipsePolicyID,GroupClass,PlacingBasis,SubClassCode,SubClass,StatsMinorClassCode,StatsMinorClassDescription,InceptionDate,ExpiryDate,RenewalDate,Territory,YOA,Limit_100Pct_USD,GNWP,GGTP,GGWP,Inc,Inc_Cat,Exposure,LeaderStatus,LinePct,LeaderLinePct,BrokerUltimateName,XS_100Pct_USD,Ded_100Pct_USD,ClaimCount,PLR,RARC,GrossGrossModelPrice,GrossNetModelPrice,GrossGrossTechnicalPrice,GrossNetTechnicalPrice,EffectiveLine,Inc_ExCat,Full_Inc_ExCat,Full_GNWP,PricingStrength,PricingStrength2,BrokerFeePct,YOA_cat,Excess,Attachment,CLR_Cat,CLR_ExCat,ClaimFrequency,ILR_Cat,ILR_ExCat,ModelToActualRto,ModelToTechnicalRto,PLR_ex_adj,PLR_band,PLR_band_ex_adj,YOA_recent
KC505Z09A000,KC505Z14A000,KC505Z13A000,634790,578713,D&O WW,OM,90425,SPECIALTY / FINANCE / PROFESSIONAL SERVI,DP,D & O PRIVATE,2014-09-24,2021-10-14,2021-10-15,COLORADO,2014.0,15000000.0,34869.6721,36038.026,38744.0803,0.0,0.0,5001000.0,LEAD,33.34,33.34,THB GROUP,70000000.0,500000.0,0.0,0.6073,0.0,28581.36,25723.22,36038.03,32434.22,0.3334,0.0,0.0,104588.09868026397,1.0750888603055007,0.07508886030550074,10.000000438776702,2014,Excess,70500000.0,0.0,0.0,0.0,0.0,0.0,0.7376961790986171,0.7930888564108527,0.4816428624983108,Lower Middle,Upper Middle,History
KD931Q14A000,KD931Q14A000,,637058,-1,D&O WW,OM,90420,MINING,DT,D & O PUBLIC - 1 A SIDE,2014-09-30,2015-09-29,2015-09-30,SOUTH AFRICA,2014.0,18534000.0,29654.4,27801.0,37068.0,0.0,0.0,9267000.0,LEAD,50.0,50.0,ARTHUR J. GALLAGHER & CO.,123560000.0,0.0,0.0,0.4897,0.0,5429.23,4343.38,27801.0,22240.8,0.5,0.0,0.0,59308.8,1.3333333333333333,0.3333333333333333,19.999999999999996,2014,Excess,123560000.0,0.0,0.0,0.0,0.0,0.0,0.14646676378547532,0.19528901838063378,0.09563303230099637,Lower quantile,Lower quantile,History
KC404X09A000,KC404X10A000,KC404X09A000,422251,380375,D&O WW,OM,90422,PHARMACEUTICALS / BIO-TECHNOLOGY,DT,D & O PUBLIC - 1 A SIDE,2010-05-23,2011-05-22,2011-05-23,UNITED KINGDOM,2010.0,74136000.0,58244.68175752,49424.098848,60235.620471,0.0,0.0,12356024.712,FOLLOW,16.6667,16.86090428401856,JLT,247120000.0,18534000.0,6.0,0.5827,-0.07,15516.49,15003.64,49424.1,47790.53,0.16666699999999998,0.0,0.0,349467.3916103368,1.21875,0.21875,3.3052514407791778,2010,Excess,265654000.0,0.0,0.0,103.01369702694508,0.0,0.0,0.257596582863628,0.3139458280474505,0.18293623400324943,Lower Middle,Lower Middle,History
KC160B08A000,KC160B20A000,KC160B19A000,927603,885788,D&O WW,OM,90425,SPECIALTY / FINANCE / PROFESSIONAL SERVI,DP,D & O PRIVATE,2020-06-15,2021-06-14,2021-06-15,SWITZERLAND,2020.0,18534000.0,57470.27019888,43250.50981644,62809.03857,0.0,0.0,6177938.22,FOLLOW,33.333,33.33,MARSH,6178000.0,0.0,0.0,0.532,2.9642,597.2,546.44,43250.51,39574.22,0.33332999999999996,0.0,0.0,172412.53472198726,1.4522149874433523,0.4522149874433523,8.500000147542453,2020,Excess,6178000.0,0.0,0.0,0.0,0.0,0.0,0.009508185662393592,0.013807929663719572,0.007345818581098813,Lower quantile,Lower quantile,Recent
KD998G15A000,KD998G15A000,,674949,-1,D&O WW,OM,90404,COMPUTER HARDWARE,DT,D & O PUBLIC - 1 A SIDE,2015-07-01,2016-06-30,2016-07-01,BERMUDA,2015.0,5000000.0,6166.79,8333.5,8333.5,0.0,0.0,1666700.0,LEAD,33.334,33.34,LLOYD & PARTNERS LIMITED,20000000.0,0.0,0.0,0.715,0.0,1757.37,1300.45,8333.5,6166.79,0.33334,0.0,0.0,18500.0,1.0,0.0,26.0,2015,Excess,20000000.0,0.0,0.0,0.0,0.0,0.0,0.21088018239635206,0.21088018239635206,0.15077933041339173,Upper Quantile,Lower Middle,History
KE639A05A000,KE639A17A000,KE639A16A000,744553,709990,D&O WW,OM,90423,PROPERTY / REAL ESTATE,DN,D & O NOT PROFIT,2017-01-31,2018-01-31,2018-01-31,USA VIRGIN ISLANDS,2017.0,1000000.0,3562.5,3500.0,4750.0,0.0,0.0,1000000.0,LEAD,100.0,100.0,MILLER INSURANCE SERVICES,0.0,5000.0,0.0,0.55,0.0,3096.0,2322.0,3500.0,2625.0,1.0,0.0,0.0,3562.5,1.3571428571428572,0.35714285714285715,25.0,2017,Primary,5000.0,0.0,0.0,0.0,0.0,0.0,0.6517894736842105,0.8845714285714286,0.48651428571428573,Lower Middle,Upper Middle,Recent
KC202S08A000,KC202S15A000,KC202S14A000,693865,640074,D&O WW,OM,90006,INSURANCE BROKERS,DQ,D & O PUBLIC,2015-11-01,2016-10-31,2016-11-01,AUSTRALIA,2015.0,20655299.23104,8097.18482672,12870.83325096,10868.70358472,0.0,0.0,10327649.61552,LEAD,50.0,50.0,THB GROUP,13770199.48736,0.0,0.0,0.847,0.0,12383.17,9225.46,12870.83,9588.77,0.5,0.0,0.0,16194.36965344,0.8444444406044445,-0.15555555939555557,25.49999396336835,2015,Excess,13770199.48736,0.0,0.0,0.0,0.0,0.0,1.139341955871273,0.9621112235963026,0.8149082063860683,Upper Quantile,Upper Quantile,Recent
KB830S08A000,KB830S11A000,KB830S10A000,463052,419558,D&O WW,OM,90412,FOOD PRODUCERS,DP,D & O PRIVATE,2011-04-01,2012-03-31,2012-04-01,BERMUDA,2011.0,25000000.0,34288.504,20000.0,42920.0,0.0,0.0,10000000.0,FOLLOW,40.0,60.0,MARSH,25000000.0,75000.0,1.0,0.3199,-0.07,14376.4,11485.21,20000.0,15977.86,0.4,0.0,0.0,85721.26,2.146,1.146,20.110661696178934,2011,Excess,25075000.0,0.0,0.0,29.164293665305436,0.0,0.0,0.33495806150978563,0.71882,0.22995051800000002,Lower quantile,Lower Middle,History
KD961L14A000,KD961L14A000,,648147,-1,D&O WW,OM,90410,ELECTRONIC HARDWARE,DT,D & O PUBLIC - 1 A SIDE,2014-12-17,2015-12-16,2015-12-17,RHODE ISLAND,2014.0,10000000.0,5610.6,7273.0,7480.8,0.0,0.0,2078000.0,FOLLOW,20.78,37.66,MARSH,50000000.0,0.0,0.0,0.6348,0.0,6516.61,4887.46,7273.0,5454.75,0.2078,0.0,0.0,27000.0,1.0285714285714287,0.028571428571428595,25.0,2014,Excess,50000000.0,0.0,0.0,0.0,0.0,0.0,0.8711113784621964,0.8960002749896878,0.5687809745634539,Lower Middle,Upper Quantile,History
KC386H09A000,KC386H12A000,KC386H11A000,523020,480106,D&O WW,OM,90425,SPECIALTY / FINANCE / PROFESSIONAL SERVI,DS,D & O GENERAL - 1 A SIDE,2012-08-28,2013-08-27,2013-08-28,UNITED KINGDOM,2012.0,3089000.0,2471.2,3089.0,3089.0,0.0,0.0,3089000.0,LEAD,100.0,100.0,EPIC INSURANCE BROKERS & CONSULTANTS,12356000.0,0.0,0.0,0.6983,-0.1,0.0,0.0,3089.0,2471.2,1.0,0.0,0.0,2471.2,1.0,0.0,20.000000000000007,2012,Excess,12356000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Middle,Lower quantile,History
