LifetimePolicyReference,PolicyReference,PriorPolicyRef,EclipsePolicyID,PriorEclipsePolicyID,GroupClass,PlacingBasis,SubClassCode,SubClass,StatsMinorClassCode,StatsMinorClassDescription,InceptionDate,ExpiryDate,RenewalDate,Territory,YOA,Limit_100Pct_USD,GNWP,GGTP,GGWP,Inc,Inc_Cat,Exposure,LeaderStatus,LinePct,LeaderLinePct,BrokerUltimateName,XS_100Pct_USD,Ded_100Pct_USD,ClaimCount,PLR,RARC,GrossGrossModelPrice,GrossNetModelPrice,GrossGrossTechnicalPrice,GrossNetTechnicalPrice,EffectiveLine,Inc_ExCat,Full_Inc_ExCat,Full_GNWP,PricingStrength,PricingStrength2,BrokerFeePct,YOA_cat,Excess,Attachment,CLR_Cat,CLR_ExCat,ClaimFrequency,ILR_Cat,ILR_ExCat,ModelToActualRto,ModelToTechnicalRto,PLR_ex_adj,PLR_band,PLR_band_ex_adj,YOA_recent
TP624L07A000,TP624L12A000,TP624L11A000,534259,492249,FI D&O,OM,90202,FUND MANAGERS,DP,D & O PRIVATE,2012-12-05,2013-12-04,2013-12-05,ISLE OF MAN,2012.0,6178000.0,10070.63424,13163.4646,12588.2928,0.0,0.0,3089000.0,LEAD,50.0,50.0,JLT,0.0,308900.0,0.0,0.7449,0.0,13856.64,11085.31,13163.46,10530.77,0.5,0.0,0.0,20141.26848,0.956305439526916,-0.04369456047308397,19.999999999999996,2012,Primary,308900.0,0.0,0.0,0.0,0.0,0.0,1.1007560929945959,1.0526594071771405,0.7841259924062519,Upper Middle,Upper Quantile,History
TM771N14A000,TM771N17A000,TM771N16A000,785319,741400,FI D&O,OM,90500,COMMERCIAL BANK,DP,D & O PRIVATE,2017-09-18,2018-09-17,2018-09-18,SLOVENIA,2017.0,11231706.20853,40779.517316620295,32312.49559131996,54372.68975549373,0.0,0.0,5615853.104265,FOLLOW,50.0,50.0,R K HARRISON,22463412.41706,0.0,2.0,0.429,-0.06,8077.84,6058.38,32312.5,24234.37,0.5,0.0,0.0,81559.03463324059,1.682714032465501,0.682714032465501,25.00000000000001,2017,Excess,22463412.41706,0.0,0.0,49.04422934856246,0.0,0.0,0.1485642891003719,0.24999117988394584,0.10724621617021277,Lower quantile,Upper Quantile,Recent
TL022C09A000,TL022C10A000,TL022C09A000,434974,386687,FI D&O,OM,90500,COMMERCIAL BANK,DP,D & O PRIVATE,2010-07-01,2011-06-30,2011-07-01,SOUTH AFRICA,2010.0,8633093.525249999,5876.55462192,10123.22705976,7835.40616256,0.0,0.0,971223.021590625,FOLLOW,11.25,20.0,MARSH,0.0,0.0,0.0,1.0,0.0,20246.44,15184.83,10123.23,7592.42,0.11250000000000002,0.0,0.0,52236.04108373332,0.7740028072378098,-0.22599719276219016,25.0,2010,Primary,0.0,0.0,0.0,0.0,0.0,0.0,2.5839681542922137,1.9999980243459843,1.9999980243459843,Upper Quantile,Upper Quantile,History
TA360B05A000,TA360B12A000,TA360B11A000,532994,490412,FI D&O,OM,90202,FUND MANAGERS,DP,D & O PRIVATE,2012-11-01,2013-10-31,2013-11-01,CAYMAN ISLANDS,2012.0,10000000.0,5066.6616,7666.3256,6333.327,0.0,0.0,3333330.0,LEAD,33.3333,50.0,MILLER INSURANCE SERVICES,0.0,250000.0,0.0,0.8622,0.0,7666.33,6133.06,7666.33,6133.06,0.333333,0.0,0.0,15200.000000000002,0.8261228821275215,-0.17387711787247856,19.999999999999996,2012,Primary,250000.0,0.0,0.0,0.0,0.0,0.0,1.210474368369105,1.0,0.8622,Upper Quantile,Upper Quantile,History
TM924Q15A000,TM924Q15A000,,664828,-1,FI D&O,OM,90506,INSURANCE COMPANY,DS,D & O GENERAL - 1 A SIDE,2015-04-10,2021-04-09,2021-04-10,UNITED KINGDOM,2015.0,185340000.0,35211.07854,39560.53213976,39123.4206,0.0,0.0,12354764.4,FOLLOW,6.666,4.33,AON,247120000.0,6178000.0,0.0,0.725,0.0,39560.53,35604.48,39560.53,35604.48,0.06666,0.0,0.0,528219.0,0.9889508174911357,-0.011049182508864311,9.999999999999986,2015,Excess,253298000.0,0.0,0.0,0.0,0.0,0.0,1.011172576254746,1.0,0.725,Upper Middle,Upper Quantile,History
TB996E08B000,TB996E11B000,TB996E10B000,477380,436407,FI D&O,OM,90500,COMMERCIAL BANK,DS,D & O GENERAL - 1 A SIDE,2011-07-31,2012-07-30,2012-07-31,BERMUDA,2011.0,30000000.0,7570.2,14299.7292,7570.2,0.0,0.0,2271060.0,FOLLOW,7.5702,8.34,ARTHUR J. GALLAGHER & CO.,20000000.0,250000.0,0.0,1.415,-0.17,6813.18,6813.18,14299.73,14299.73,0.075702,0.0,0.0,99999.99999999999,0.5293946405642422,-0.4706053594357577,0.0,2011,Excess,20250000.0,0.0,0.0,0.0,0.0,0.0,0.9,0.4764551498524798,0.674184037041259,Upper Quantile,Upper Quantile,History
TL890K11A000,TL890K15A000,TL890K14A000,688885,634017,FI D&O,OM,90433,GLOBAL FINANCIAL SERVICES,DO,D & O GENERAL,2015-10-08,2016-10-07,2016-10-08,NEW YORK,2015.0,15000000.0,40500.0,74943.0,45000.0,0.0,0.0,15000000.0,LEAD,100.0,100.0,ARTHUR J. GALLAGHER & CO.,0.0,0.0,0.0,1.194,-0.1,1594536.0,1435082.4,74943.0,67448.7,1.0,0.0,0.0,40500.0,0.600456346823586,-0.39954365317641405,9.999999999999998,2015,Primary,0.0,0.0,0.0,0.0,0.0,0.0,35.434133333333335,21.276650254193186,25.404320403506663,Upper Quantile,Upper Quantile,History
TM831C14A000,TM831C17A000,TM831C16A000,800042,745938,FI D&O,OM,90500,COMMERCIAL BANK,DP,D & O PRIVATE,2017-12-09,2018-12-09,2018-12-09,CAYMAN ISLANDS,2017.0,5000000.0,2025.0,2500.0,3000.0,0.0,0.0,2500000.0,FOLLOW,50.0,50.0,THB GROUP,0.0,0.0,1.0,0.601,0.0,2500.0,1687.5,2500.0,1687.5,0.5,0.0,0.0,4050.0,1.2,0.2,32.49999999999999,2017,Primary,0.0,0.0,0.0,493.8271604938272,0.0,0.0,0.8333333333333334,1.0,0.601,Lower quantile,Upper Quantile,Recent
TF708X09A000,TF708X13A000,TF708X12A000,566202,515709,FI D&O,OM,90202,FUND MANAGERS,DP,D & O PRIVATE,2013-06-29,2014-06-28,2014-06-29,UNITED KINGDOM,2013.0,9267000.0,3837.62952904,5826.21936692,4797.03697308,0.0,0.0,3634118.919,LEAD,39.2157,40.0,MILLER INSURANCE SERVICES,0.0,123560.0,0.0,0.9444,0.0,9710.85,7768.68,5826.22,4660.98,0.39215700000000003,0.0,0.0,9785.951873968843,0.8233533052868774,-0.17664669471312255,20.000001030302673,2013,Primary,123560.0,0.0,0.0,0.0,0.0,0.0,2.024343371646982,1.6667496249712506,1.5740783458228491,Upper Quantile,Upper Quantile,History
TM768E15C000,TM768E15C000,,687687,-1,FI D&O,OM,90500,COMMERCIAL BANK,DP,D & O PRIVATE,2015-09-19,2016-09-18,2016-09-19,SLOVENIA,2015.0,336951.1862559,203.5746750296063,339.7591128080325,280.79265521325,0.0,0.0,84237.796563975,FOLLOW,25.0,75.0,R K HARRISON,0.0,0.0,0.0,0.867,0.0,849.12,615.61,339.76,246.33,0.25,0.0,0.0,814.2987001184252,0.8264462809917354,-0.17355371900826452,27.49999999999998,2015,Primary,0.0,0.0,0.0,0.0,0.0,0.0,3.024010721915535,2.4991758888627267,2.166785495643984,Upper Quantile,Upper Quantile,History
