LifetimePolicyReference,PolicyReference,PriorPolicyRef,EclipsePolicyID,PriorEclipsePolicyID,GroupClass,PlacingBasis,SubClassCode,SubClass,StatsMinorClassCode,StatsMinorClassDescription,InceptionDate,ExpiryDate,RenewalDate,Territory,YOA,Limit_100Pct_USD,GNWP,GGTP,GGWP,Inc,Inc_Cat,Exposure,LeaderStatus,LinePct,LeaderLinePct,BrokerUltimateName,XS_100Pct_USD,Ded_100Pct_USD,ClaimCount,PLR,RARC,GrossGrossModelPrice,GrossNetModelPrice,GrossGrossTechnicalPrice,GrossNetTechnicalPrice,EffectiveLine,Inc_ExCat,Full_Inc_ExCat,Full_GNWP,PricingStrength,PricingStrength2,BrokerFeePct,YOA_cat,Excess,Attachment,CLR_Cat,CLR_ExCat,ClaimFrequency,ILR_Cat,ILR_ExCat,ModelToActualRto,ModelToTechnicalRto,PLR_ex_adj,PLR_band,PLR_band_ex_adj,YOA_recent
CP405C19A000,CP405C20A000,CP405C19A000,928905,908307,SPECIE,Binder,24111,ASSETGUARD,WA,Fine Arts/War,2020-07-01,2021-06-30,2021-07-01,USA,2020.0,10000000.0,29000.0,40479.2,40000.0,0.0,0.0,8000000.0,LEAD,80.0,80.0,ED BROKING,0.0,0.0,0.0,0.76,0.0,50599.0,36684.28,50599.0,36684.28,0.8,0.0,0.0,36250.0,0.9881618213798692,-0.011838178620130762,27.500000000000004,2020,Primary,0.0,0.0,0.0,0.0,0.0,0.0,1.264975,1.0,0.76,Upper Quantile,Upper Quantile,Recent
CM274N16A000,CM274N16A000,,742113,-1,SPECIE,Binder,23722,Specie Facility,SP,SPECIE,2016-06-30,2016-12-31,2017-01-01,WORLDWIDE,2016.0,340000000.0,32477.951,51960.4484,49966.0786,1319.25,0.0,5270000.0,FOLLOW,1.55,7.352941176470589,JLT,0.0,0.0,5.0,0.8,0.0,0.0,0.0,51960.45,33774.29,0.0155,1319.25,85112.90322580645,2095351.677419355,0.9616175406215317,-0.03838245937846834,35.00000018012221,2016,Primary,0.0,0.0,0.00025033206831119543,153.95059866923256,0.0,0.04061986545887701,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CG231L14A000,CG231L19A000,CG231L18A000,876814,834235,SPECIE,Re,24103,Private Collection,WA,Fine Arts/War,2019-04-01,2020-03-31,2020-04-01,WORLDWIDE,2019.0,300000000.0,54090.45,58656.4542,60100.5,0.0,0.0,35010000.0,FOLLOW,11.67,16.67,WILLIS,200000000.0,0.0,0.0,0.7515,0.0,104358.74,93922.87,58656.45,52790.81,0.1167,0.0,0.0,463500.0,1.024618702574081,0.024618702574080924,10.000000000000009,2019,Excess,200000000.0,0.0,0.0,0.0,0.0,0.0,1.736403856873071,1.779151994367201,1.3370327237669515,Upper Quantile,Upper Quantile,Recent
CL651J16B000,CL651J17B000,CL651J16B000,752374,700434,SPECIE,Re,23703,Vault,SP,SPECIE,2017-01-01,2017-12-31,2018-01-01,WORLDWIDE,2017.0,300000000.0,314.2843,379.3451,448.9779,0.0,0.0,6924042.0,FOLLOW,2.308,50.0,MARSH,200000000.0,0.0,0.0,0.65,-0.05,0.0,0.0,379.35,265.54,0.02308014,0.0,0.0,13617.088111250625,1.1835605626644445,0.18356056266444454,30.00005122746576,2017,Excess,200000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CG713B14A000,CG713B14A000,,620376,-1,SPECIE,Other,24110,Fine Arts Facility,WA,Fine Arts/War,2014-07-01,2015-08-31,2015-09-01,WORLDWIDE,2014.0,10000000.0,126360.0,198055.26,175500.0,3774.13,0.0,9000000.0,LEAD,90.0,100.0,MILLER INSURANCE SERVICES,0.0,0.0,1.0,0.85,0.0,0.0,0.0,198055.26,142599.79,0.9,3774.13,4193.477777777778,140400.0,0.8861163293517172,-0.11388367064828275,28.000000000000004,2014,Primary,0.0,0.0,0.00041934777777777777,7.9138968027856915,0.0,0.029868075340297562,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CP218G19A000,CP218G20A000,CP218G19A000,930841,898057,SPECIE,Re,24106,Museum,WA,Fine Arts/War,2020-07-01,2021-06-30,2021-07-01,WORLDWIDE,2020.0,100000000.0,18475.0,19587.2,18475.0,0.0,0.0,5000000.0,FOLLOW,5.0,7.5,HOWDEN,0.0,1000000.0,0.0,0.7962,0.0,23879.8,23879.8,19587.2,19587.2,0.05,0.0,0.0,369500.0,0.9432180199313838,-0.056781980068616275,0.0,2020,Primary,1000000.0,0.0,0.0,0.0,0.0,0.0,1.2925466847090663,1.21915332462016,0.9706898770625715,Upper Quantile,Upper Quantile,Recent
CL052A15A000,CL052A15A000,,689668,-1,SPECIE,OM,23712,Diamond Cutting ,SP,SPECIE,2015-10-13,2016-01-13,2016-01-14,BELGIUM,2015.0,3000000.0,5744.0963,7450.1856,7658.7957,0.0,0.0,560007.0,LEAD,18.6669,20.0,LLOYD & PARTNERS LIMITED,0.0,0.0,0.0,0.75,0.0,0.0,0.0,7450.19,5587.64,0.186669,0.0,0.0,30771.559819787966,1.028000658131255,0.02800065813125513,25.000006202019453,2015,Primary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CH381N14A000,CH381N14A000,,622078,-1,SPECIE,Re,23900,Cash in Transit,CA,CASH IN TRANSIT,2014-07-06,2015-07-04,2015-07-05,ARMENIA,2014.0,2922125.7478,29890.92028184,42519.2083418,42701.31218184,0.0,0.0,730531.43695,FOLLOW,25.0,25.0,K M DASTUR & COMPANY LIMITED,0.0,17324.0312191,0.0,0.75,0.0,0.0,0.0,42519.21,29763.45,0.25,0.0,0.0,119563.68112736,1.0042828605503689,0.0042828605503687864,29.99999589110519,2014,Primary,17324.0312191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CG080G14A000,CG080G15A000,CG080G14A000,670118,612832,SPECIE,OM,23720,Tender House/Sites,SP,SPECIE,2015-05-15,2016-05-14,2016-05-15,WORLDWIDE,2015.0,500000000.0,16805.4209,25150.2826,25854.4937,7534.53,0.0,14017500.0,FOLLOW,2.8035,16.5,ARTHUR J. GALLAGHER & CO.,0.0,5000.0,5.0,0.75,-0.08,0.0,0.0,25150.28,16347.68,0.028035,7534.53,268754.41412520065,599444.2981986803,1.0280001267262102,0.028000126726210245,35.000000019339,2015,Primary,5000.0,0.0,0.0005375088282504012,297.523045078865,0.0,0.4483392617676121,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
CG713B14A000,CG713B15A000,CG713B14A000,685425,620376,SPECIE,Other,24111,ASSETGUARD,WA,Fine Arts/War,2015-09-01,2016-08-31,2016-09-01,WORLDWIDE,2015.0,10000000.0,100146.15,149874.102,154071.0,30282.02,0.0,9000000.0,LEAD,90.0,100.0,CHESTERFIELD INSURANCE BROKERS LIMITED,0.0,0.0,1.0,0.75,0.0,0.0,0.0,149874.1,97418.17,0.9,30282.02,33646.688888888886,111273.49999999999,1.028002823329677,0.028002823329676973,35.00000000000001,2015,Primary,0.0,0.0,0.003364668888888889,9.985406328650678,0.0,0.3023782741523264,0.0,0.0,0.0,Upper Quantile,Upper Quantile,History
